society,price,sector,price_per_sqft,bedRoom,bathroom,balcony,floorNum,agePossession,property_type,built_up_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score,coordinates,latitude,longitude
shree vardhman victoria,1.25,sector 70,9259.0,2.0,2.0,3,3.0,Relatively New,flat,1222.0,0,0,0,0,0,0,43,"28.3968° N, 77.0233° E",28.3968,77.0233
godrej summit,1.35,sector 104,5015.0,4.0,5.0,3+,0.0,Relatively New,flat,2991.0,0,0,0,0,0,0,88,"28.4788° N, 76.9960° E",28.4788,76.996
ireo victory valley,3.5,sector 67,14583.0,3.0,4.0,3,24.0,Relatively New,flat,2490.0,0,0,0,0,0,1,149,"28.3859° N, 77.0608° E",28.3859,77.0608
independent,0.9,sector 3,8929.0,3.0,1.0,0,1.0,Moderately Old,house,1008.0,0,0,0,0,0,0,0,"28.4909° N, 77.0176° E",28.4909,77.0176
m3m skywalk,2.45,sector 74,12141.0,3.0,3.0,3+,25.0,Relatively New,flat,1800.0,0,0,0,0,0,0,137,"28.4158° N, 77.0118° E",28.4158,77.0118
shreeram apartment ii,0.21,sector 4,4667.0,1.0,1.0,1,2.0,Relatively New,flat,500.0,0,0,0,0,0,0,7,"28.4738° N, 77.0107° E",28.4738,77.0107
paras dews,1.32,sector 106,5605.0,4.0,5.0,3+,11.0,Relatively New,flat,1535.0,0,0,0,0,0,0,49,"28.5007° N, 77.0003° E",28.5007,77.0003
orris aster court premier,1.2,sector 85,5660.0,3.0,4.0,2,6.0,Relatively New,flat,1650.0,0,0,0,0,0,0,28,"28.4042° N, 76.9513° E",28.4042,76.9513
parsvnath green ville,1.86,sector 48,7654.0,3.0,3.0,3+,6.0,Moderately Old,flat,2199.0,0,0,0,0,0,1,94,"28.4177° N, 77.0359° E",28.4177,77.0359
bptp terra,1.65,sector 37d,8791.0,3.0,3.0,2,15.0,Relatively New,flat,1699.0,0,0,0,0,0,0,116,"28.4478° N, 76.9703° E",28.4478,76.9703
tulip violet,1.19,sector 69,8815.0,2.0,3.0,1,0.0,Relatively New,flat,1500.0,0,0,0,0,0,1,174,"28.3966° N, 77.0341° E",28.3966,77.0341
vatika sovereign park,3.2,sector 99,9922.0,4.0,4.0,0,5.0,Under Construction,flat,3225.0,0,0,0,0,0,0,23,"28.4640° N, 76.9614° E",28.464,76.9614
shree vardhman victoria,1.65,sector 70,8462.0,3.0,4.0,3,5.0,Relatively New,flat,1527.0,0,0,0,0,0,1,49,"28.3968° N, 77.0233° E",28.3968,77.0233
dlf the primus,2.2,sector 82a,10516.0,3.0,3.0,3+,16.0,Relatively New,flat,1893.0,0,0,0,0,0,2,174,"28.3858° N, 76.9686° E",28.3858,76.9686
independent,3.71,sector 12,19818.0,3.0,3.0,1,4.0,Moderately Old,house,1872.0,0,0,0,1,0,0,0,"28.4723° N, 77.0320° E",28.4723,77.032
dnha cghs,0.85,sector 1,3864.0,3.0,3.0,0,5.0,Moderately Old,flat,2200.0,0,0,0,0,0,0,0,"28.3663° N, 76.9456° E",28.3663,76.9456
ats triumph,2.65,sector 104,8413.0,4.0,4.0,3+,10.0,Relatively New,flat,2851.0,0,0,0,0,0,0,174,"28.4788° N, 76.9960° E",28.4788,76.996
dlf regal gardens,1.3,sector 90,7151.0,3.0,3.0,3+,7.0,Relatively New,flat,1700.0,0,0,0,0,0,0,141,"28.4085° N, 76.9369° E",28.4085,76.9369
birla navya,3.5,sector 63a,25926.0,3.0,3.0,3,1.0,Under Construction,flat,1350.0,0,0,0,0,0,0,38,"28.3923° N, 77.0888° E",28.3923,77.0888
tulip violet,1.4,sector 69,8872.0,3.0,3.0,2,11.0,Relatively New,flat,1428.0,0,0,0,0,0,0,126,"28.3966° N, 77.0341° E",28.3966,77.0341
independent,10.56,sector 50,32593.0,5.0,5.0,3,3.0,Moderately Old,house,3240.0,0,1,0,0,0,0,20,"28.4178° N, 77.0628° E",28.4178,77.0628
pioneer araya,10.75,sector 62,19499.0,5.0,7.0,3,10.0,Relatively New,flat,4990.0,0,0,0,0,0,1,153,"28.4139° N, 77.0886° E",28.4139,77.0886
independent,9.5,sector 17,23457.0,8.0,8.0,3,3.0,Relatively New,house,4050.0,1,0,0,0,0,1,27,"28.4791° N, 77.0608° E",28.4791,77.0608
ss the leaf,1.25,sector 85,7180.0,2.0,2.0,3,10.0,Relatively New,flat,1730.0,0,0,0,0,0,0,49,"28.4042° N, 76.9513° E",28.4042,76.9513
independent,2.25,sector 7,16892.0,5.0,3.0,0,2.0,Old Property,house,148.0,0,0,0,0,0,0,0,"28.4644° N, 77.0143° E",28.4644,77.0143
ild greens,0.9,sector 37c,5614.0,3.0,3.0,3,0.0,Under Construction,flat,1500.0,0,0,0,0,0,0,66,"28.4515° N, 76.9882° E",28.4515,76.9882
sidhartha ncr greens,0.6,sector 95,5576.0,2.0,2.0,2,14.0,Relatively New,flat,974.0,0,0,0,0,0,0,31,"28.4172° N, 76.9081° E",28.4172,76.9081
independent,2.4,sector 23,12000.0,3.0,3.0,2,2.0,Moderately Old,house,2000.0,0,0,1,1,0,0,28,"28.5121° N, 77.0478° E",28.5121,77.0478
cghs airport apartment,1.8,sector 47,6000.0,4.0,4.0,3+,4.0,Moderately Old,flat,2857.0,0,0,0,0,0,1,120,"28.4276° N, 77.0492° E",28.4276,77.0492
international city by sobha phase 1,6.0,sector 109,9634.0,5.0,5.0,3+,2.0,Relatively New,house,6228.0,1,1,1,1,0,0,160,"28.5073° N, 77.0089° E",28.5073,77.0089
madan puri,0.75,sector 7,12500.0,3.0,5.0,3,3.0,Moderately Old,house,600.0,0,0,0,0,0,0,0,"28.4644° N, 77.0143° E",28.4644,77.0143
sushant lok 1 builder floors,2.45,sector 43,7756.0,4.0,4.0,3+,3.0,Moderately Old,house,540.0,1,1,0,1,1,2,123,"28.4629° N, 77.0772° E",28.4629,77.0772
irwo westend towers,0.65,sector 47,12059.0,1.0,1.0,2,3.0,Old Property,flat,599.0,0,0,0,0,0,0,56,"28.4276° N, 77.0492° E",28.4276,77.0492
whiteland blissville,1.92,sector 76,11497.0,3.0,3.0,2,2.0,Under Construction,flat,1672.0,0,0,0,0,0,0,61,"28.3935° N, 76.9888° E",28.3935,76.9888
godrej,1.28,sector 79,8505.0,3.0,3.0,3,7.0,Relatively New,flat,1362.0,0,0,0,0,0,0,158,"28.3624° N, 76.9787° E",28.3624,76.9787
emaar mgf marbella,12.0,sector 66,38095.0,5.0,6.0,3+,3.0,Relatively New,house,3150.0,0,1,1,0,0,1,153,"28.3925° N, 77.0541° E",28.3925,77.0541
sare crescent parc,0.82,sector 92,5384.0,3.0,3.0,3+,12.0,Relatively New,flat,1523.0,0,0,0,0,0,0,0,"28.4079° N, 76.9153° E",28.4079,76.9153
ansals florence villa,6.0,sector 57,22222.0,4.0,5.0,2,2.0,Old Property,house,2700.0,0,1,0,1,0,1,20,"28.4232° N, 77.0752° E",28.4232,77.0752
paras dews,1.35,sector 106,7297.0,4.0,4.0,3+,18.0,Relatively New,flat,2100.0,0,0,0,0,0,1,174,"28.5007° N, 77.0003° E",28.5007,77.0003
signature andour heights,0.39,sector 71,9848.0,1.0,1.0,2,1.0,New Property,flat,294.0,0,0,0,0,0,0,0,"28.4104° N, 77.0281° E",28.4104,77.0281
independent,3.1,sector 55,20026.0,5.0,4.0,3+,2.0,Moderately Old,house,1548.0,0,1,1,0,0,1,59,"28.4281° N, 77.1100° E",28.4281,77.11
