society,price,sector,price_per_sqft,bedRoom,bathroom,balcony,floorNum,agePossession,property_type,built_up_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score,coordinates,latitude,longitude
bestech park view residency,0.98,sector 2,6931.0,2.0,2.0,3,11.0,Moderately Old,flat,1281.0,0,0,0,0,0,0,83,"28.5095° N, 77.0320° E",28.5095,77.032
dlf the ultima,2.35,sector 81,11175.0,3.0,3.0,3+,14.0,Relatively New,flat,1550.0,0,0,0,0,0,2,49,"28.3867° N, 76.9485° E",28.3867,76.9485
south city 1 floors,3.4,sector 41,11724.0,4.0,4.0,3,0.0,Old Property,flat,2900.0,0,0,0,0,0,0,0,"28.4557° N, 77.0632° E",28.4557,77.0632
smart world orchard,1.9,sector 61,22700.0,3.0,3.0,3,1.0,New Property,flat,1137.0,0,0,0,0,0,0,30,"28.4050° N, 77.0963° E",28.405,77.0963
dlf park place,4.85,sector 54,30180.0,3.0,4.0,3+,6.0,Moderately Old,flat,1607.0,0,0,0,0,0,2,158,"28.4348° N, 77.1089° E",28.4348,77.1089
smart world orchard,2.3,sector 61,14110.0,3.0,3.0,2,2.0,Under Construction,flat,1475.0,0,0,0,0,0,0,79,"28.4050° N, 77.0963° E",28.405,77.0963
central park flower valley aqua front towers,2.96,sector 33,13871.0,4.0,4.0,3,1.0,New Property,flat,2371.0,0,0,0,0,0,1,24,"28.4420° N, 77.0207° E",28.442,77.0207
park royal apartment,1.85,sector 56,9024.0,3.0,4.0,3,7.0,Old Property,flat,2278.0,0,0,0,0,0,0,72,"28.4245° N, 77.0991° E",28.4245,77.0991
pivotal devaan,0.3,sector 84,6667.0,1.0,1.0,1,14.0,New Property,flat,500.0,0,0,0,0,0,1,22,"28.3979° N, 76.9736° E",28.3979,76.9736
ireo skyon,2.85,sector 60,13936.0,3.0,4.0,3+,5.0,Relatively New,flat,2045.0,0,0,0,0,0,1,174,"28.4003° N, 77.0975° E",28.4003,77.0975
house number b-34,0.8,sector 5,8889.0,2.0,2.0,1,1.0,Old Property,house,900.0,0,0,0,0,0,0,0,"28.4794° N, 77.0176° E",28.4794,77.0176
unitech vistas,0.99,sector 70,6326.0,3.0,4.0,2,11.0,Under Construction,flat,1416.0,0,0,0,0,0,0,0,"28.3968° N, 77.0233° E",28.3968,77.0233
emaar palm gardens,1.8,sector 83,9474.0,3.0,4.0,0,9.0,Relatively New,flat,1900.0,0,0,0,0,0,0,55,"28.3986° N, 76.9647° E",28.3986,76.9647
independent,4.25,sector 10a,17955.0,4.0,3.0,2,1.0,Moderately Old,house,2367.0,0,0,0,0,0,0,0,"28.4469° N, 77.0106° E",28.4469,77.0106
la vida by tata housing,2.85,sector 113,12855.0,3.0,3.0,3+,10.0,New Property,flat,2006.0,0,0,0,0,0,0,72,"28.5287° N, 77.0233° E",28.5287,77.0233
sare homes,1.1,sector 92,5348.0,4.0,4.0,3,4.0,Relatively New,flat,2286.0,0,0,0,0,0,0,108,"28.4079° N, 76.9153° E",28.4079,76.9153
dlf regal gardens,1.15,sector 90,6326.0,3.0,3.0,3+,18.0,Relatively New,flat,1645.0,0,0,0,0,0,1,130,"28.4085° N, 76.9369° E",28.4085,76.9369
dlf the ultima,2.12,sector 81,10081.0,3.0,3.0,3+,9.0,Relatively New,flat,1650.0,0,0,0,0,0,2,49,"28.3867° N, 76.9485° E",28.3867,76.9485
independent,1.9,sector 4,8444.0,4.0,3.0,2,2.0,Moderately Old,house,211.0,0,0,1,1,0,1,46,"28.4738° N, 77.0107° E",28.4738,77.0107
vatika gurgaon,0.78,sector 83,6265.0,2.0,2.0,2,3.0,Relatively New,flat,850.0,0,0,0,0,0,1,165,"28.3986° N, 76.9647° E",28.3986,76.9647
m3m golfestate,7.0,sector 65,18182.0,3.0,3.0,2,12.0,Moderately Old,flat,4278.0,0,0,0,0,0,0,60,"28.4030° N, 77.0690° E",28.403,77.069
shapoorji pallonji joyville gurugram,0.95,sector 102,10383.0,2.0,2.0,2,14.0,Relatively New,flat,915.0,0,0,0,0,0,0,0,"28.4750° N, 76.9715° E",28.475,76.9715
hsiidc sidco aravali,0.9,manesar,3478.0,3.0,3.0,3+,8.0,Moderately Old,flat,1900.0,0,0,0,0,0,0,23,"28.3515° N, 76.9428° E",28.3515,76.9428
shree vardhman victoria,1.65,sector 70,8462.0,3.0,4.0,3,12.0,Relatively New,flat,1765.0,0,0,0,0,0,0,56,"28.3968° N, 77.0233° E",28.3968,77.0233
unitech espace,11.5,sector 50,35494.0,5.0,6.0,0,1.0,Moderately Old,house,3240.0,0,0,0,0,0,0,0,"28.4178° N, 77.0628° E",28.4178,77.0628
independent,0.9,sector 7,10000.0,2.0,4.0,3,3.0,Old Property,house,900.0,0,1,0,0,1,1,44,"28.4644° N, 77.0143° E",28.4644,77.0143
experion the heartsong,1.6,sector 108,7988.0,3.0,4.0,3+,3.0,Relatively New,flat,1500.29,0,0,0,0,0,1,60,"28.5134° N, 76.9830° E",28.5134,76.983
la vida by tata housing,2.48,sector 113,14091.0,3.0,3.0,3+,8.0,New Property,flat,1980.0,0,0,0,0,0,0,79,"28.5287° N, 77.0233° E",28.5287,77.0233
m3m heights,2.0,sector 65,13957.0,2.0,2.0,2,32.0,Relatively New,flat,1433.0,0,0,0,0,0,0,48,"28.4030° N, 77.0690° E",28.403,77.069
emaar gurgaon greens,1.45,sector 102,14174.0,3.0,3.0,3,10.0,Relatively New,flat,1315.0,0,0,0,0,0,0,165,"28.4750° N, 76.9715° E",28.475,76.9715
smart world orchard,1.85,sector 61,14800.0,2.0,2.0,2,3.0,New Property,flat,1389.0,0,0,0,0,0,0,44,"28.4050° N, 77.0963° E",28.405,77.0963
maruti kunj,0.8,sector 11,5161.0,3.0,2.0,0,0.0,Old Property,flat,1403.0,0,0,0,0,0,0,8,"28.4531° N, 77.0202° E",28.4531,77.0202
dlf floors phase 3,3.51,sector 24,12342.0,4.0,4.0,3,4.0,Under Construction,house,2844.0,1,1,1,1,0,1,160,"28.4939° N, 77.1038° E",28.4939,77.1038
ss the leaf,1.31,sector 85,7988.0,2.0,2.0,2,5.0,Relatively New,flat,1822.0,0,0,0,0,0,0,89,"28.4042° N, 76.9513° E",28.4042,76.9513
emaar mgf emerald floors premier,2.8,sector 65,16970.0,3.0,3.0,3+,3.0,Relatively New,flat,1650.0,0,0,0,0,0,1,38,"28.4030° N, 77.0690° E",28.403,77.069
godrej aria,1.3,sector 79,9623.0,2.0,4.0,2,3.0,Relatively New,flat,1223.0,0,0,0,0,0,0,53,"28.3624° N, 76.9787° E",28.3624,76.9787
raheja vedaanta,0.85,sector 108,4637.0,3.0,3.0,2,2.0,Relatively New,flat,1500.0,0,0,0,0,0,0,65,"28.5134° N, 76.9830° E",28.5134,76.983
conscient heritage max,2.1,sector 102,9772.0,3.0,4.0,3+,10.0,Relatively New,flat,1945.0,0,0,0,0,0,0,53,"28.4750° N, 76.9715° E",28.475,76.9715
ambience creacions,4.3,sector 22,13916.0,3.0,4.0,3+,6.0,Relatively New,flat,2600.0,0,0,0,0,0,2,120,"28.5072° N, 77.0640° E",28.5072,77.064
sare crescent parc,0.71,sector 92,4934.0,3.0,3.0,2,6.0,Relatively New,flat,1596.0,0,0,0,0,0,0,37,"28.4079° N, 76.9153° E",28.4079,76.9153
satya element one,0.87,sector 49,19333.0,1.0,1.0,1,2.0,Relatively New,flat,500.0,0,0,0,0,0,0,22,"28.4121° N, 77.0480° E",28.4121,77.048
emaar mgf the palm drive,3.5,sector 66,16471.0,3.0,4.0,3,6.0,Relatively New,flat,2150.0,0,0,0,0,0,0,68,"28.3925° N, 77.0541° E",28.3925,77.0541
ss the leaf,1.09,sector 85,6663.0,2.0,2.0,3,5.0,Relatively New,flat,1475.0,0,0,0,0,0,0,49,"28.4042° N, 76.9513° E",28.4042,76.9513
rof aalayas,0.45,sector 102,6000.0,1.0,1.0,2,6.0,Relatively New,flat,750.0,0,0,0,0,0,0,0,"28.4750° N, 76.9715° E",28.475,76.9715
pioneer urban presidia,7.15,sector 62,16486.0,4.0,5.0,3+,7.0,Relatively New,flat,3925.0,0,0,0,0,0,1,158,"28.4139° N, 77.0886° E",28.4139,77.0886
ats tourmaline,1.4,sector 109,8000.0,3.0,3.0,3+,5.0,Relatively New,flat,1466.0,0,0,0,0,0,0,44,"28.5073° N, 77.0089° E",28.5073,77.0089
independent,1.2,sector 12,14184.0,2.0,4.0,2,2.0,Relatively New,house,846.0,0,0,0,1,0,1,7,"28.4723° N, 77.0320° E",28.4723,77.032
indiabulls enigma,3.4,sector 110,10000.0,4.0,5.0,3,3.0,Relatively New,flat,3077.0,0,0,0,0,0,0,90,"28.5145° N, 77.0197° E",28.5145,77.0197
bestech park view residency,1.55,sector 2,8073.0,3.0,4.0,3+,4.0,Old Property,flat,1738.0,0,0,0,0,0,0,84,"28.5095° N, 77.0320° E",28.5095,77.032
emaar mgf emerald estate,1.42,sector 65,13922.0,2.0,2.0,2,6.0,Relatively New,flat,1010.0,0,0,0,0,0,1,174,"28.4030° N, 77.0690° E",28.403,77.069
supertech araville,1.45,sector 79,7455.0,3.0,3.0,3,3.0,Relatively New,flat,2161.0,0,0,0,0,0,0,0,"28.3624° N, 76.9787° E",28.3624,76.9787
godrej nature plus,1.3,sector 33,8349.0,3.0,2.0,3+,18.0,New Property,flat,1409.0,0,0,0,0,0,0,38,"28.4420° N, 77.0207° E",28.442,77.0207
sidhartha ncr greens,0.56,sector 95,5657.0,2.0,2.0,3,13.0,New Property,flat,896.0,0,0,0,0,0,0,8,"28.4172° N, 76.9081° E",28.4172,76.9081
independent,4.5,sector 24,33333.0,2.0,8.0,3+,4.0,Relatively New,house,1350.0,0,1,1,0,0,1,56,"28.4939° N, 77.1038° E",28.4939,77.1038
shapoorji pallonji joyville gurugram,1.26,sector 102,10040.0,2.0,2.0,2,10.0,Relatively New,flat,1100.0,0,0,0,0,0,0,108,"28.4750° N, 76.9715° E",28.475,76.9715
independent,12.5,sector 50,40611.0,6.0,5.0,3,4.0,Moderately Old,house,3078.0,1,1,0,1,0,1,23,"28.4178° N, 77.0628° E",28.4178,77.0628
eros rosewood villas,2.5,sector 49,13514.0,3.0,3.0,2,2.0,Moderately Old,house,1900.0,0,0,1,1,0,0,59,"28.4121° N, 77.0480° E",28.4121,77.048
shree vardhman flora,0.65,sector 90,4962.0,2.0,2.0,3,11.0,Relatively New,flat,1225.0,0,0,0,0,0,1,49,"28.4085° N, 76.9369° E",28.4085,76.9369
godrej air,2.6,sector 85,12212.0,3.0,3.0,3,17.0,Under Construction,flat,2129.0,0,0,0,0,0,0,44,"28.4042° N, 76.9513° E",28.4042,76.9513
ramprastha the edge towers,0.8,sector 37d,8889.0,2.0,2.0,3,10.0,Relatively New,flat,1310.0,0,0,0,0,0,0,166,"28.4478° N, 76.9703° E",28.4478,76.9703
smart world gems,0.97,sector 89,8794.0,2.0,2.0,3+,2.0,New Property,flat,1103.0,0,0,0,0,0,0,49,"28.4253° N, 76.9439° E",28.4253,76.9439
tulip violet,2.0,sector 69,10168.0,4.0,4.0,1,12.0,Relatively New,flat,2186.0,0,0,0,0,0,0,79,"28.3966° N, 77.0341° E",28.3966,77.0341
tata gurgaon gateway,3.21,sector 113,11823.0,3.0,3.0,3,9.0,New Property,flat,2281.0,0,0,0,0,0,0,49,"28.5287° N, 77.0233° E",28.5287,77.0233
smart world orchard,2.55,sector 61,15644.0,3.0,3.0,2,4.0,New Property,flat,1630.0,0,0,0,0,0,0,30,"28.4050° N, 77.0963° E",28.405,77.0963
shri banke bihari society,1.35,sector 56,6750.0,3.0,3.0,3,5.0,Old Property,flat,1800.0,0,0,0,0,0,1,82,"28.4245° N, 77.0991° E",28.4245,77.0991
godrej frontier,1.6,sector 80,6999.0,3.0,3.0,3,5.0,Moderately Old,flat,2047.0,0,0,0,0,0,0,53,"28.3659° N, 76.9557° E",28.3659,76.9557
bestech park view grand spa,4.2,sector 81,10000.0,4.0,4.0,3+,25.0,Relatively New,flat,3512.0,0,0,0,0,0,1,90,"28.3867° N, 76.9485° E",28.3867,76.9485
satya the hermitage,3.15,sector 103,6702.0,4.0,5.0,0,12.0,Relatively New,house,4700.0,0,0,0,0,0,0,61,"28.4949° N, 76.9845° E",28.4949,76.9845
independent,0.7,sector 4,6648.0,3.0,3.0,0,1.0,Moderately Old,house,117.0,0,0,0,0,0,0,0,"28.4738° N, 77.0107° E",28.4738,77.0107
bestech park view ananda,0.88,sector 81,8044.0,2.0,2.0,3,8.0,Relatively New,flat,1223.0,0,0,0,0,0,1,95,"28.3867° N, 76.9485° E",28.3867,76.9485
godrej aria,0.95,sector 79,6552.0,2.0,2.0,3,5.0,Relatively New,flat,1611.0,0,0,0,0,0,1,174,"28.3624° N, 76.9787° E",28.3624,76.9787
puri diplomatic greens,3.45,sector 111,11695.0,4.0,5.0,3+,9.0,Relatively New,flat,2670.0,0,0,0,0,0,0,68,"28.5238° N, 77.0320° E",28.5238,77.032
satya element one,0.94,sector 49,14009.0,1.0,2.0,2,2.0,Moderately Old,flat,746.0,0,0,0,0,0,0,0,"28.4121° N, 77.0480° E",28.4121,77.048
experion windchants,4.25,sector 112,11294.0,3.0,5.0,2,15.0,Relatively New,flat,3000.0,0,0,0,0,0,0,72,"28.5189° N, 77.0183° E",28.5189,77.0183
independent,3.5,sector 17,24306.0,2.0,6.0,3+,3.0,Old Property,house,1440.0,0,0,0,0,0,0,0,"28.4791° N, 77.0608° E",28.4791,77.0608
shapoorji pallonji joyville gurugram,1.41,sector 102,10307.0,2.0,2.0,3,0.0,Relatively New,flat,1238.0,0,0,0,0,0,0,49,"28.4750° N, 76.9715° E",28.475,76.9715
parsvnath exotica,5.0,sector 53,17241.0,3.0,4.0,3,7.0,Old Property,flat,3222.0,0,0,0,0,0,1,24,"28.4433° N, 77.0948° E",28.4433,77.0948
shapoorji pallonji joyville gurugram,0.97,sector 102,16441.0,2.0,2.0,2,10.0,Relatively New,flat,742.0,0,0,0,0,0,0,151,"28.4750° N, 76.9715° E",28.475,76.9715
emaar mgf palm hills,1.65,sector 77,8462.0,4.0,3.0,3,9.0,Relatively New,flat,1765.0,0,0,0,0,0,0,100,"28.3801° N, 76.9845° E",28.3801,76.9845
dlf new town heights,1.25,sector 90,6504.0,3.0,3.0,3+,5.0,Relatively New,flat,1929.0,0,0,0,0,0,0,127,"28.4085° N, 76.9369° E",28.4085,76.9369
dlf new town heights,1.9,sector 90,6967.0,4.0,4.0,3+,19.0,Relatively New,flat,2512.0,0,0,0,0,0,1,174,"28.4085° N, 76.9369° E",28.4085,76.9369
dlf new town heights,1.75,sector 90,5721.0,4.0,4.0,3+,17.0,Relatively New,flat,2468.0,0,0,0,0,0,0,88,"28.4085° N, 76.9369° E",28.4085,76.9369
godrej oasis,1.0,sector 88a,6897.0,2.0,2.0,3,7.0,Relatively New,flat,1611.0,0,0,0,0,0,0,72,"28.4347° N, 76.9557° E",28.4347,76.9557
gls avenue 51,0.42,sector 92,6562.0,3.0,3.0,1,2.0,Relatively New,flat,711.0,0,0,0,0,0,0,20,"28.4079° N, 76.9153° E",28.4079,76.9153
smart world orchard,2.45,sector 61,15796.0,3.0,3.0,3,3.0,New Property,flat,1223.0,0,0,0,0,0,0,119,"28.4050° N, 77.0963° E",28.405,77.0963
bhawani enclave,0.42,sector 12,8235.0,3.0,3.0,0,2.0,New Property,house,567.0,0,0,0,1,0,0,0,"28.4723° N, 77.0320° E",28.4723,77.032
bestech park view grand spa,2.4,sector 81,9023.0,3.0,4.0,3+,8.0,New Property,flat,2407.0,0,0,0,0,0,1,167,"28.3867° N, 76.9485° E",28.3867,76.9485
independent,4.6,sector 31,32258.0,2.0,2.0,2,2.0,Moderately Old,house,1426.0,0,0,0,0,0,0,0,"28.4528° N, 77.0498° E",28.4528,77.0498
dlf the ultima,2.4,sector 81,11412.0,3.0,4.0,3+,19.0,Relatively New,flat,1903.0,0,0,0,0,0,2,174,"28.3867° N, 76.9485° E",28.3867,76.9485
suncity platinum towers,6.0,sector 28,22346.0,3.0,3.0,2,8.0,Moderately Old,flat,2983.0,0,0,0,0,0,0,31,"28.4728° N, 77.0865° E",28.4728,77.0865
tulip violet,1.7,sector 69,10773.0,3.0,3.0,2,0.0,Relatively New,flat,1428.0,0,0,0,0,0,0,49,"28.3966° N, 77.0341° E",28.3966,77.0341
shri banke bihari society,1.37,sector 56,9133.0,3.0,3.0,3+,2.0,Old Property,flat,1450.0,0,0,0,0,0,0,174,"28.4245° N, 77.0991° E",28.4245,77.0991
mrg world ultimus,0.5,sector 90,6983.0,2.0,2.0,2,1.0,Under Construction,flat,796.0,0,0,0,0,0,0,21,"28.4085° N, 76.9369° E",28.4085,76.9369
independent,1.8,sector 92,7627.0,4.0,5.0,0,13.0,Relatively New,house,2360.0,0,0,0,0,0,0,0,"28.4079° N, 76.9153° E",28.4079,76.9153
sobha city,3.95,sector 108,16859.0,4.0,5.0,3,25.0,Relatively New,flat,2343.0,0,0,0,0,0,0,59,"28.5134° N, 76.9830° E",28.5134,76.983
nbcc heights,1.5,sector 89,7059.0,3.0,3.0,3,8.0,Relatively New,flat,1923.0,0,0,0,0,0,0,105,"28.4253° N, 76.9439° E",28.4253,76.9439
ss the coralwood,1.01,sector 84,5771.0,3.0,3.0,2,18.0,Relatively New,flat,1475.0,0,0,0,0,0,0,40,"28.3979° N, 76.9736° E",28.3979,76.9736
la vida by tata housing,3.05,sector 113,11338.0,3.0,4.0,3,15.0,New Property,flat,2600.0,0,0,0,0,0,0,174,"28.5287° N, 77.0233° E",28.5287,77.0233
dlf the skycourt,1.55,sector 86,8031.0,3.0,3.0,1,12.0,Relatively New,flat,1900.0,0,0,0,0,0,1,153,"28.3986° N, 76.9384° E",28.3986,76.9384
m3m the marina,2.22,sector 68,14323.0,3.0,2.0,3,4.0,Relatively New,flat,1403.0,0,0,0,0,0,0,44,"28.3853° N, 77.0484° E",28.3853,77.0484
vipul tatvam villa,7.25,sector 48,22377.0,4.0,4.0,3,2.0,Relatively New,house,3240.0,1,1,1,1,0,1,103,"28.4177° N, 77.0359° E",28.4177,77.0359
sobha smriti apartments,0.5,sector 56,8333.0,1.0,1.0,2,3.0,Old Property,flat,667.0,0,0,0,0,0,0,0,"28.4245° N, 77.0991° E",28.4245,77.0991
emaar mgf emerald floors,3.2,sector 65,10159.0,4.0,3.0,2,1.0,Relatively New,flat,3150.0,0,0,0,0,0,0,0,"28.4030° N, 77.0690° E",28.403,77.069
paras dews,1.0,sector 106,7220.0,2.0,2.0,3+,2.0,New Property,flat,940.0,0,0,0,0,0,1,21,"28.5007° N, 77.0003° E",28.5007,77.0003
shree vardhman victoria,1.23,sector 70,9111.0,2.0,2.0,3,1.0,Relatively New,flat,1222.0,0,0,0,0,0,0,43,"28.3968° N, 77.0233° E",28.3968,77.0233
sbr minda sec 1 imt manesar,0.65,manesar,4260.0,3.0,2.0,3+,6.0,Moderately Old,flat,1696.0,0,0,0,0,0,0,5,"28.3515° N, 76.9428° E",28.3515,76.9428
raheja atlantis,5.5,sector 31,18688.0,4.0,5.0,3+,1.0,Relatively New,flat,2663.0,0,0,0,0,0,0,81,"28.4528° N, 77.0498° E",28.4528,77.0498
independent,7.0,sector 82,21605.0,4.0,4.0,3+,1.0,Relatively New,house,3240.0,1,1,0,1,0,1,49,"28.3935° N, 76.9600° E",28.3935,76.96
m3m skycity,2.8,sector 65,15317.0,3.0,3.0,0,14.0,Relatively New,flat,1828.0,0,0,0,0,0,0,39,"28.4030° N, 77.0690° E",28.403,77.069
sushant lok 1 builder floors,13.0,sector 43,48148.0,3.0,3.0,3+,4.0,New Property,house,2700.0,0,0,0,1,0,1,7,"28.4629° N, 77.0772° E",28.4629,77.0772
microtek greenburg,1.3,sector 86,8754.0,2.0,2.0,3,10.0,Relatively New,flat,1339.0,0,0,0,0,0,0,38,"28.3986° N, 76.9384° E",28.3986,76.9384
conscient elevate,6.75,sector 59,19882.0,4.0,4.0,2,10.0,New Property,flat,2567.0,0,0,0,0,0,0,31,"28.4051° N, 77.1097° E",28.4051,77.1097
bestech altura,2.55,sector 79,9533.0,4.0,5.0,2,4.0,New Property,flat,2675.0,0,0,0,0,0,0,44,"28.3624° N, 76.9787° E",28.3624,76.9787
independent,0.45,sector 13,4808.0,1.0,1.0,0,1.0,Old Property,house,936.0,0,0,0,0,0,0,0,"28.4757° N, 77.0392° E",28.4757,77.0392
signature global city,1.0,sector 37d,8163.0,3.0,3.0,3,4.0,Under Construction,flat,1250.0,0,0,0,0,0,0,49,"28.4478° N, 76.9703° E",28.4478,76.9703
ats kocoon,1.6,sector 109,9169.0,3.0,3.0,3,10.0,Relatively New,flat,1550.0,0,0,0,0,0,0,86,"28.5073° N, 77.0089° E",28.5073,77.0089
independent,0.59,sector 8,10085.0,2.0,2.0,2,2.0,Moderately Old,house,585.0,0,0,0,0,1,0,7,"28.3738° N, 76.8970° E",28.3738,76.897
orchid petals,2.45,sector 49,11887.0,3.0,3.0,3,0.0,Relatively New,flat,1865.0,0,0,0,0,0,0,49,"28.4121° N, 77.0480° E",28.4121,77.048
viridian the plaza 106,0.39,sector 106,5571.0,1.0,1.0,1,7.0,Relatively New,flat,567.0,0,0,0,0,0,0,130,"28.5007° N, 77.0003° E",28.5007,77.0003
kiran residency,1.55,sector 56,6889.0,3.0,3.0,3+,5.0,Moderately Old,flat,1900.0,0,0,0,0,0,1,92,"28.4245° N, 77.0991° E",28.4245,77.0991
dlf city plots phase 2,6.5,sector 25,36111.0,5.0,5.0,3+,3.0,Old Property,house,1800.0,1,1,1,1,0,1,134,"28.4844° N, 77.0860° E",28.4844,77.086
smart world orchard,1.47,sector 61,12783.0,2.0,2.0,2,4.0,New Property,flat,1278.0,0,0,0,0,0,0,53,"28.4050° N, 77.0963° E",28.405,77.0963
sbtl caladium,1.9,sector 109,6219.0,4.0,4.0,3,8.0,Relatively New,flat,2765.0,0,0,0,0,0,0,151,"28.5073° N, 77.0089° E",28.5073,77.0089
signature global solera 2,0.5,sector 107,8929.0,2.0,2.0,2,13.0,New Property,flat,622.0,0,0,0,0,0,0,8,"28.5052° N, 76.9729° E",28.5052,76.9729
ats kocoon,1.7,sector 109,12879.0,3.0,3.0,3,22.0,Relatively New,flat,1550.0,0,0,0,0,0,0,103,"28.5073° N, 77.0089° E",28.5073,77.0089
tulip violet,2.0,sector 69,9950.0,4.0,4.0,2,0.0,Relatively New,flat,1819.0,0,0,0,0,0,0,95,"28.3966° N, 77.0341° E",28.3966,77.0341
vatika the seven lamps,1.6,sector 82,6598.0,4.0,4.0,3+,16.0,Moderately Old,house,2425.0,0,1,0,0,0,0,94,"28.3935° N, 76.9600° E",28.3935,76.96
emaar palm gardens,1.8,sector 83,9474.0,3.0,3.0,3+,9.0,Relatively New,flat,1719.0,0,0,0,0,0,0,55,"28.3986° N, 76.9647° E",28.3986,76.9647
raheja sampada,0.9,sector 92,6569.0,3.0,2.0,3,11.0,Relatively New,flat,1240.0,0,0,0,0,0,0,88,"28.4079° N, 76.9153° E",28.4079,76.9153
independent,1.7,sector 12,9444.0,3.0,3.0,0,1.0,Old Property,house,200.0,0,0,0,0,0,0,0,"28.4723° N, 77.0320° E",28.4723,77.032
central park flower valley,2.3,sector 33,12778.0,4.0,4.0,3+,5.0,New Property,flat,2000.0,0,0,0,0,0,0,42,"28.4420° N, 77.0207° E",28.442,77.0207
shree vardhman victoria,1.6,sector 70,8205.0,3.0,5.0,3,6.0,Relatively New,flat,2167.0,0,0,0,0,0,0,174,"28.3968° N, 77.0233° E",28.3968,77.0233
emaar mgf marbella,18.0,sector 66,40000.0,5.0,6.0,3+,3.0,Relatively New,house,4500.0,1,1,1,1,0,2,153,"28.3925° N, 77.0541° E",28.3925,77.0541
smart world orchard,1.7,sector 61,15179.0,2.0,2.0,2,4.0,Under Construction,flat,1244.0,0,0,0,0,0,0,127,"28.4050° N, 77.0963° E",28.405,77.0963
puri emerald bay,1.5,sector 104,9677.0,2.0,2.0,2,7.0,Under Construction,flat,1403.0,0,0,0,0,0,0,43,"28.4788° N, 76.9960° E",28.4788,76.996
bestech park view residency,1.59,sector 2,8281.0,3.0,4.0,3+,11.0,Moderately Old,flat,1738.0,0,0,0,0,0,0,100,"28.5095° N, 77.0320° E",28.5095,77.032
kothi,6.95,sector 17b,15444.0,4.0,4.0,3+,2.0,Old Property,house,3500.0,1,1,1,1,0,0,33,"28.4806° N, 77.0663° E",28.4806,77.0663
beverley park 1,8.44,sector 43,16231.0,4.0,5.0,3,9.0,Moderately Old,flat,5000.0,0,0,0,0,0,2,117,"28.4629° N, 77.0772° E",28.4629,77.0772
vatika gurgaon,1.4,sector 83,7179.0,4.0,4.0,3,10.0,Relatively New,flat,2167.0,0,0,0,0,0,0,35,"28.3986° N, 76.9647° E",28.3986,76.9647
godrej nature plus,1.65,sector 33,8267.0,3.0,3.0,3,2.0,Under Construction,flat,2218.0,0,0,0,0,0,0,37,"28.4420° N, 77.0207° E",28.442,77.0207
paras dews,1.25,sector 106,10656.0,3.0,4.0,3,14.0,Relatively New,flat,1305.0,0,0,0,0,0,0,167,"28.5007° N, 77.0003° E",28.5007,77.0003
tulip violet,1.85,sector 69,9204.0,4.0,4.0,2,14.0,Relatively New,flat,1819.0,0,0,0,0,0,1,157,"28.3966° N, 77.0341° E",28.3966,77.0341
signature global solera,0.5,sector 107,7752.0,3.0,2.0,2,6.0,Relatively New,flat,717.0,0,0,0,0,0,0,15,"28.5052° N, 76.9729° E",28.5052,76.9729
tulip violet,1.31,sector 69,8518.0,3.0,3.0,2,12.0,Relatively New,flat,1392.0,0,0,0,0,0,1,174,"28.3966° N, 77.0341° E",28.3966,77.0341
independent,2.99,sector 56,20635.0,4.0,4.0,2,2.0,Moderately Old,house,1449.0,1,1,0,1,0,1,49,"28.4245° N, 77.0991° E",28.4245,77.0991
rk tower,0.95,sector 2,9596.0,2.0,2.0,1,1.0,Relatively New,flat,1100.0,0,0,0,0,0,0,99,"28.5095° N, 77.0320° E",28.5095,77.032
independent,5.0,sector 14,22222.0,3.0,3.0,3,1.0,Moderately Old,house,2250.0,0,0,0,0,0,0,25,"28.4711° N, 77.0454° E",28.4711,77.0454
dlf the arbour,7.9,sector 63,20000.0,4.0,4.0,3+,34.0,Under Construction,flat,3950.0,0,0,0,0,0,0,61,"28.3971° N, 77.0867° E",28.3971,77.0867
ireo victory valley,2.95,sector 67,12236.0,3.0,3.0,3,10.0,Relatively New,flat,2150.0,0,0,0,0,0,1,174,"28.3859° N, 77.0608° E",28.3859,77.0608
experion windchants,3.65,sector 112,12310.0,3.0,4.0,3+,14.0,Relatively New,flat,2225.56,0,0,0,0,0,1,150,"28.5189° N, 77.0183° E",28.5189,77.0183
dlf the primus,1.59,sector 82a,10338.0,3.0,3.0,3+,5.0,Relatively New,flat,1668.0,0,0,0,0,0,2,167,"28.3858° N, 76.9686° E",28.3858,76.9686
signature global solera,0.25,sector 107,7862.0,1.0,1.0,0,0.0,Relatively New,flat,318.0,0,0,0,0,0,0,55,"28.5052° N, 76.9729° E",28.5052,76.9729
signature global solera,0.51,sector 107,7907.0,3.0,2.0,2,9.0,Relatively New,flat,717.0,0,0,0,0,0,0,15,"28.5052° N, 76.9729° E",28.5052,76.9729
bestech park view residency,0.95,sector 2,6709.0,2.0,2.0,3,10.0,Old Property,flat,1573.0,0,0,0,0,0,1,88,"28.5095° N, 77.0320° E",28.5095,77.032
paras quartier,5.9,gwal pahari,11028.0,4.0,4.0,3+,0.0,Moderately Old,flat,5350.0,0,0,0,0,0,0,63,"28.4484° N, 77.0210° E",28.4484,77.021
emaar palm heights,1.75,sector 77,11667.0,3.0,3.0,3+,11.0,Relatively New,flat,1900.0,0,0,0,0,0,0,94,"28.3801° N, 76.9845° E",28.3801,76.9845
